episode: 1/2000, episode end value: 77533.0
episode: 2/2000, episode end value: 52545.0
episode: 3/2000, episode end value: 49718.0
episode: 4/2000, episode end value: 51088.0
episode: 5/2000, episode end value: 26290.0
episode: 6/2000, episode end value: 50633.0
episode: 7/2000, episode end value: 18693.0
episode: 8/2000, episode end value: 27991.0
episode: 9/2000, episode end value: 50638.0
episode: 10/2000, episode end value: 37991.0
episode: 11/2000, episode end value: 48255.0
episode: 12/2000, episode end value: 29239.0
episode: 13/2000, episode end value: 39010.0
episode: 14/2000, episode end value: 37926.0
episode: 15/2000, episode end value: 50621.0
episode: 16/2000, episode end value: 31377.0
episode: 17/2000, episode end value: 39141.0
episode: 18/2000, episode end value: 50213.0
episode: 19/2000, episode end value: 35907.0
episode: 20/2000, episode end value: 20589.0
episode: 21/2000, episode end value: 22802.0
episode: 22/2000, episode end value: 70491.0
episode: 23/2000, episode end value: 8811.0
episode: 24/2000, episode end value: 42717.0
episode: 25/2000, episode end value: 46982.0
episode: 26/2000, episode end value: 33595.0
episode: 27/2000, episode end value: 38654.0
episode: 28/2000, episode end value: 37918.0
episode: 29/2000, episode end value: 56028.0
episode: 30/2000, episode end value: 53645.0
episode: 31/2000, episode end value: 41047.0
episode: 32/2000, episode end value: 50203.0
episode: 33/2000, episode end value: 51231.0
episode: 34/2000, episode end value: 34980.0
