episode: 1/5000, episode end value: 17711.0
episode: 2/5000, episode end value: 21854.0
episode: 3/5000, episode end value: 22604.0
episode: 4/5000, episode end value: 48500.0
episode: 5/5000, episode end value: 30870.0
episode: 6/5000, episode end value: 44295.0
episode: 7/5000, episode end value: 42815.0
episode: 8/5000, episode end value: 35294.0
episode: 9/5000, episode end value: 50534.0
episode: 10/5000, episode end value: 64650.0
episode: 11/5000, episode end value: 44878.0
episode: 12/5000, episode end value: 43458.0
episode: 13/5000, episode end value: 16514.0
episode: 14/5000, episode end value: 37801.0
episode: 15/5000, episode end value: 25678.0
episode: 16/5000, episode end value: 29878.0
episode: 17/5000, episode end value: 17192.0
episode: 18/5000, episode end value: 25209.0
episode: 19/5000, episode end value: 25558.0
episode: 20/5000, episode end value: 12386.0
episode: 21/5000, episode end value: 24541.0
episode: 22/5000, episode end value: 25056.0
episode: 23/5000, episode end value: 24360.0
episode: 24/5000, episode end value: 25574.0
episode: 25/5000, episode end value: 50491.0
episode: 26/5000, episode end value: 25527.0
episode: 27/5000, episode end value: 20428.0
episode: 28/5000, episode end value: 20770.0
episode: 29/5000, episode end value: 53715.0
episode: 30/5000, episode end value: 15142.0
episode: 31/5000, episode end value: 53298.0
episode: 32/5000, episode end value: 45428.0
