episode: 1/2000, episode end value: 19500.0
episode: 2/2000, episode end value: 35204.0
episode: 3/2000, episode end value: 25322.0
episode: 4/2000, episode end value: 19668.0
episode: 5/2000, episode end value: 33521.0
episode: 6/2000, episode end value: 49736.0
episode: 7/2000, episode end value: 51045.0
episode: 8/2000, episode end value: 51610.0
episode: 9/2000, episode end value: 51157.0
episode: 10/2000, episode end value: 51155.0
episode: 11/2000, episode end value: 51712.0
episode: 12/2000, episode end value: 59655.0
episode: 13/2000, episode end value: 36483.0
episode: 14/2000, episode end value: 49981.0
episode: 15/2000, episode end value: 44091.0
episode: 16/2000, episode end value: 32818.0
episode: 17/2000, episode end value: 78894.0
episode: 18/2000, episode end value: 21986.0
episode: 19/2000, episode end value: 27255.0
episode: 20/2000, episode end value: 48765.0
episode: 21/2000, episode end value: 76623.0
episode: 22/2000, episode end value: 34671.0
episode: 23/2000, episode end value: 29866.0
episode: 24/2000, episode end value: 57770.0
episode: 25/2000, episode end value: 23898.0
episode: 26/2000, episode end value: 53717.0
episode: 27/2000, episode end value: 56010.0
episode: 28/2000, episode end value: 37648.0
